transaction_date,transaction_time,payment_id,payment_status,item_barcode,item_name,item_price,item_quantity,item_subtotal,item_gst_percent,item_hsn_code,transaction_total
2025-12-02,21:53:31,pay_Rmo87fGJeAU9JZ,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,22:33:01,pay_RmonrHwhHRvI7t,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,23:03:15,pay_RmpJnTELysxS6W,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,23:22:39,pay_RmpeIWPSSP4L1F,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,23:31:40,pay_Rmpnnryq76wqrb,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,23:35:23,pay_RmprjWXfYYT8jV,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-02,23:40:57,pay_RmpxbH6ukLAXxx,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-03,15:59:24,pay_Rn6dCUN8LVZzSM,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
2025-12-14,19:39:21,pay_RrWFxUfjsohUhI,captured,1731724465,Britannia Choco Star Cookie,120.00,1,120.00,18.0,19053100,363.00
2025-12-14,19:39:21,pay_RrWFxUfjsohUhI,captured,3006551,Maniarrs Khakhara,66.00,3,198.00,5.0,19059040,363.00
2025-12-14,19:39:21,pay_RrWFxUfjsohUhI,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,363.00
2025-12-14,19:39:21,pay_RrWFxUfjsohUhI,captured,1219056,Real Bites Sev Mamra,5.00,1,5.00,5.0,21069010,363.00
2025-12-14,19:42:27,pay_RrWJEoIkhwloSh,captured,14810,Balaji Waffers Big Pack,40.00,3,120.00,12.0,21069099,562.00
2025-12-14,19:42:27,pay_RrWJEoIkhwloSh,captured,1219056,Real Bites Sev Mamra,5.00,2,10.00,5.0,21069010,562.00
2025-12-14,19:42:27,pay_RrWJEoIkhwloSh,captured,3006551,Maniarrs Khakhara,66.00,2,132.00,5.0,19059040,562.00
2025-12-14,19:42:27,pay_RrWJEoIkhwloSh,captured,90223424955,Oreo,15.00,4,60.00,18.0,19053100,562.00
2025-12-14,19:42:27,pay_RrWJEoIkhwloSh,captured,1731724465,Britannia Choco Star Cookie,120.00,2,240.00,18.0,19053100,562.00
2026-01-05,15:26:38,pay_S09hVyVfemLFxL,captured,123,test,100.00,2,200.00,11.0,47328973,200.00
2026-01-05,15:36:17,pay_S09rhcNTf8rZZm,captured,123,test,100.00,7,700.00,11.0,47328973,700.00
2026-01-13,17:34:20,pay_S3M9J2wg7ARVk7,captured,123,test,100.00,2,200.00,11.0,47328973,240.00
2026-01-13,17:34:20,pay_S3M9J2wg7ARVk7,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,240.00
2026-01-13,17:42:06,pay_S3MHVswjrQVwvU,captured,123,test,100.00,1,100.00,11.0,47328973,140.00
2026-01-13,17:42:06,pay_S3MHVswjrQVwvU,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,140.00
2026-01-13,17:51:18,pay_S3MRE7BhEjbEu2,captured,123,test,100.00,4,400.00,11.0,47328973,400.00
2026-01-13,18:02:22,pay_S3McwFX6oZPdTb,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-01-13,18:08:50,pay_S3Mjl098K56VRK,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-01-13,18:15:54,pay_S3MrEJC5KZH8jB,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-01-13,18:18:22,pay_S3MtpnBgcUUXlo,captured,123,test,100.00,3,300.00,11.0,47328973,460.00
2026-01-13,18:18:22,pay_S3MtpnBgcUUXlo,captured,14810,Balaji Waffers Big Pack,40.00,4,160.00,12.0,21069099,460.00
2026-01-13,18:20:44,pay_S3MwKJSoG9eixP,captured,123,test,100.00,1,100.00,11.0,47328973,140.00
2026-01-13,18:20:44,pay_S3MwKJSoG9eixP,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,140.00
2026-01-13,18:22:51,pay_S3MyZuDL0AQT11,captured,123,test,100.00,1,100.00,11.0,47328973,180.00
2026-01-13,18:22:51,pay_S3MyZuDL0AQT11,captured,14810,Balaji Waffers Big Pack,40.00,2,80.00,12.0,21069099,180.00
2026-01-28,22:00:59,pay_S9Mhb3Sbu3KSE7,captured,123,test,100.00,5,500.00,11.0,47328973,500.00
2026-02-14,15:45:15,pay_SFzNtrRvmEt9Nh,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-04-02,22:26:33,pay_SYhKRZkeaApfxk,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-04-02,22:47:44,pay_SYhgpUOtY2N4fY,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-04-02,23:05:42,pay_SYhzlFIX3zDSvC,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-04-02,23:09:31,pay_SYi3q61sEzkevc,captured,123,test,100.00,1,100.00,11.0,47328973,451.00
2026-04-02,23:09:31,pay_SYi3q61sEzkevc,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,451.00
2026-04-02,23:09:31,pay_SYi3q61sEzkevc,captured,3006551,Maniarrs Khakhara,66.00,1,66.00,5.0,19059040,451.00
2026-04-02,23:09:31,pay_SYi3q61sEzkevc,captured,1219056,Real Bites Sev Mamra,5.00,1,5.00,5.0,21069010,451.00
2026-04-02,23:09:31,pay_SYi3q61sEzkevc,captured,1731724465,Britannia Choco Star Cookie,120.00,2,240.00,18.0,19053100,451.00
2026-04-02,23:55:24,pay_SYiqJ50WVjaEMx,captured,555,milk,34.00,34,1156.00,3.0,21345677,1156.00
2026-04-03,21:00:29,pay_SZ4OdhiJ5BPUSv,captured,555,milk,34.00,1,34.00,3.0,21345677,34.00
2026-05-18,14:27:22,pay_Sqlka1TIg6Weep,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-05-18,14:54:22,pay_test_bypass_1779096262,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-05-18,14:57:43,pay_SqmGaxdzvovg7J,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
2026-09-15,11:07:19,pay_TcCQFl66NhQU69,captured,123,test,100.00,1,100.00,11.0,47328973,100.00
